"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","764","deve cadastrar um usuario","chromium","Tue Sep 02 16:00:08 UTC 2025","passed","Tue Sep 02 16:00:08 UTC 2025","","cadastro.spec.ts","",""
"","5516","deve fazer upload","webkit","Sat Aug 23 09:32:32 UTC 2025","passed","Sat Aug 23 09:32:37 UTC 2025","","upload.spec.ts","",""
"","463","test com o senha invalida","chromium","Tue Sep 02 16:00:11 UTC 2025","passed","Tue Sep 02 16:00:11 UTC 2025","","login.spec.ts","",""
"","1601","test de login com dados validos","chromium","Tue Sep 02 16:00:09 UTC 2025","passed","Tue Sep 02 16:00:11 UTC 2025","","login.spec.ts","",""
"","3325","deve cadastrar um usuario","firefox","Sat Aug 23 09:32:29 UTC 2025","passed","Sat Aug 23 09:32:32 UTC 2025","","cadastro.spec.ts","",""
"","922","test","chromium","Tue Sep 02 16:00:12 UTC 2025","passed","Tue Sep 02 16:00:13 UTC 2025","","login.spec.ts","",""
"","4888","deve fazer upload","firefox","Sat Aug 23 09:32:29 UTC 2025","passed","Sat Aug 23 09:32:34 UTC 2025","","upload.spec.ts","",""
"","7099","deve cadastrar um usuario","webkit","Sat Aug 23 09:32:32 UTC 2025","passed","Sat Aug 23 09:32:39 UTC 2025","","cadastro.spec.ts","",""
"","712","deve fazer upload","chromium","Tue Sep 02 16:00:13 UTC 2025","passed","Tue Sep 02 16:00:14 UTC 2025","","upload.spec.ts","",""
"","757","test com o email invalida","chromium","Tue Sep 02 16:00:11 UTC 2025","passed","Tue Sep 02 16:00:12 UTC 2025","","login.spec.ts","",""
